วันที่,เลขชนิด,ชนิดรถ,เลขประเภท,ประเภทรถ,ความเร็วเฉลี่ย่,ส่วนเบี่ยงเบนมาตรฐานความเร็ว
2019-04-02,1,รถโดยสารประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,58.0,24.46
2019-04-02,1,รถโดยสารประจำทาง,02,รถโดยสารปรับอากาศชั้น2,45.0,23.63
2019-04-02,1,รถโดยสารประจำทาง,03,รถโดยสารธรรมดา,26.0,16.39
2019-04-02,1,รถโดยสารประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,63.0,23.85
2019-04-02,1,รถโดยสารประจำทาง,96,รถโดยสารระหว่างประเทศ,49.0,25.74
2019-04-02,1,รถโดยสารประจำทาง,99,ไม่สามารถระบุได้,37.0,30.18
2019-04-02,3,รถโดยสารไม่ประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,34.0,20.39
2019-04-02,3,รถโดยสารไม่ประจำทาง,02,รถโดยสารปรับอากาศชั้น2,37.0,20.76
2019-04-02,3,รถโดยสารไม่ประจำทาง,03,รถโดยสารธรรมดา,38.0,19.73
2019-04-02,3,รถโดยสารไม่ประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,39.0,20.13
2019-04-02,3,รถโดยสารไม่ประจำทาง,95,รถโดยสารพ่วง,67.0,28.27
2019-04-02,3,รถโดยสารไม่ประจำทาง,97,รถโดยสารเฉพาะกิจ,43.0,20.15
2019-04-02,3,รถโดยสารไม่ประจำทาง,99,ไม่สามารถระบุได้,30.0,22.83
2019-04-02,4,รถโดยสารส่วนบุคคล,01,รถโดยสารปรับอากาศพิเศษ,35.0,13.99
2019-04-02,4,รถโดยสารส่วนบุคคล,02,รถโดยสารปรับอากาศชั้น2,31.0,18.25
2019-04-02,4,รถโดยสารส่วนบุคคล,03,รถโดยสารธรรมดา,29.0,20.52
2019-04-02,4,รถโดยสารส่วนบุคคล,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,34.0,19.02
2019-04-02,4,รถโดยสารส่วนบุคคล,97,รถโดยสารเฉพาะกิจ,54.0,19.28
2019-04-02,5,บรรทุกส่วนบุคคล,11,กระบะบรรทุก,30.0,15.98
2019-04-02,5,บรรทุกส่วนบุคคล,12,ตู้บรรทุก,46.0,18.74
2019-04-02,5,บรรทุกส่วนบุคคล,13,บรรทุกของเหลว,22.0,12.71
2019-04-02,5,บรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,39.0,15.18
2019-04-02,5,บรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,29.0,16.64
2019-04-02,5,บรรทุกส่วนบุคคล,19,ลากจูง,39.0,17.24
2019-04-02,6,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,37.0,17.94
2019-04-02,6,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,46.0,17.09
2019-04-02,6,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,40.0,16.97
2019-04-02,6,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.2
2019-04-02,6,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,33.0,16.06
2019-04-02,6,รถบรรทุกไม่ประจำทาง,19,ลากจูง,41.0,17.54
2019-04-02,6,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,38.0,23.93
2019-04-02,7,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,41.0,17.25
2019-04-02,7,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,44.0,18.32
2019-04-02,7,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,41.0,16.32
2019-04-02,7,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,45.0,17.99
2019-04-02,7,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,31.0,16.2
2019-04-02,7,รถบรรทุกไม่ประจำทาง,19,ลากจูง,41.0,17.46
2019-04-02,7,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,41.0,21.42
2019-04-02,8,รถบรรทุกส่วนบุคคล,11,กระบะบรรทุก,34.0,16.9
2019-04-02,8,รถบรรทุกส่วนบุคคล,12,ตู้บรรทุก,43.0,18.04
2019-04-02,8,รถบรรทุกส่วนบุคคล,13,บรรทุกของเหลว,24.0,12.99
2019-04-02,8,รถบรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,40.0,17.03
2019-04-02,8,รถบรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,31.0,18.22
2019-04-02,8,รถบรรทุกส่วนบุคคล,19,ลากจูง,40.0,17.79
2019-04-02,8,รถบรรทุกส่วนบุคคล,99,ไม่สามารถระบุได้,40.0,17.92
2019-04-02,9,รถบรรทุกส่วนบุคคล,11,กระบะบรรทุก,30.0,15.87
2019-04-02,9,รถบรรทุกส่วนบุคคล,12,ตู้บรรทุก,41.0,17.01
2019-04-02,9,รถบรรทุกส่วนบุคคล,13,บรรทุกของเหลว,23.0,14.1
